"filename", "language", "CSS", "Vue", "JavaScript", "XML", "comment", "blank", "total"
"e:\Teamanager-vue\teamanager-vue\src\App.vue", "Vue", 0, 36, 0, 0, 5, 5, 46
"e:\Teamanager-vue\teamanager-vue\src\aos\index.js", "JavaScript", 0, 0, 4, 0, 1, 0, 5
"e:\Teamanager-vue\teamanager-vue\src\assets\css\font-awesome.min.css", "CSS", 1, 0, 0, 0, 3, 1, 5
"e:\Teamanager-vue\teamanager-vue\src\assets\css\homepage.css", "CSS", 5, 0, 0, 0, 1, 0, 6
"e:\Teamanager-vue\teamanager-vue\src\assets\css\main.css", "CSS", 386, 0, 0, 0, 94, 5, 485
"e:\Teamanager-vue\teamanager-vue\src\assets\css\module.css", "CSS", 30, 0, 0, 0, 2, 0, 32
"e:\Teamanager-vue\teamanager-vue\src\assets\css\sign-css.css", "CSS", 103, 0, 0, 0, 1, 4, 108
"e:\Teamanager-vue\teamanager-vue\src\assets\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 2671, 0, 1, 2672
"e:\Teamanager-vue\teamanager-vue\src\components\ElementTest.vue", "Vue", 0, 140, 0, 0, 0, 6, 146
"e:\Teamanager-vue\teamanager-vue\src\components\HeadIcon.vue", "Vue", 0, 111, 0, 0, 1, 3, 115
"e:\Teamanager-vue\teamanager-vue\src\components\HelloWorld.vue", "Vue", 0, 43, 0, 0, 1, 4, 48
"e:\Teamanager-vue\teamanager-vue\src\components\Home\StudentHomePage.vue", "Vue", 0, 355, 0, 0, 45, 4, 404
"e:\Teamanager-vue\teamanager-vue\src\components\Home\TeacherHomePage.vue", "Vue", 0, 298, 0, 0, 19, 4, 321
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\AsideCompletedTaskItem.vue", "Vue", 0, 49, 0, 0, 2, 4, 55
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\AsideCompletedTasks.vue", "Vue", 0, 24, 0, 0, 0, 4, 28
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\AsideModules.vue", "Vue", 0, 26, 0, 0, 0, 3, 29
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\AsideTeams.vue", "Vue", 0, 27, 0, 0, 0, 3, 30
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\ModuleItem.vue", "Vue", 0, 63, 0, 0, 1, 4, 68
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\StudentInfo.vue", "Vue", 0, 123, 0, 0, 0, 6, 129
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\TeacherToolBar.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"e:\Teamanager-vue\teamanager-vue\src\components\Home\aside\TeamItem.vue", "Vue", 0, 135, 0, 0, 2, 3, 140
"e:\Teamanager-vue\teamanager-vue\src\components\Home\header\HeaderLink.vue", "Vue", 0, 46, 0, 0, 0, 2, 48
"e:\Teamanager-vue\teamanager-vue\src\components\Home\header\MainHeader.vue", "Vue", 0, 107, 0, 0, 8, 3, 118
"e:\Teamanager-vue\teamanager-vue\src\components\Home\main\DateShower.vue", "Vue", 0, 268, 0, 0, 13, 39, 320
"e:\Teamanager-vue\teamanager-vue\src\components\Home\main\UnCompletedTaskCard.vue", "Vue", 0, 233, 0, 0, 1, 4, 238
"e:\Teamanager-vue\teamanager-vue\src\components\Home\main\UnCompletedTasks.vue", "Vue", 0, 48, 0, 0, 0, 3, 51
"e:\Teamanager-vue\teamanager-vue\src\components\Module\Student\StudentModule.vue", "Vue", 0, 366, 0, 0, 30, 10, 406
"e:\Teamanager-vue\teamanager-vue\src\components\Module\Teacher\TeacherModule.vue", "Vue", 0, 415, 0, 0, 37, 7, 459
"e:\Teamanager-vue\teamanager-vue\src\components\Module\joinModule\CreateModule.vue", "Vue", 0, 147, 0, 0, 2, 2, 151
"e:\Teamanager-vue\teamanager-vue\src\components\Module\joinModule\RegisterModule.vue", "Vue", 0, 189, 0, 0, 7, 4, 200
"e:\Teamanager-vue\teamanager-vue\src\components\Module\modulePage\ModuleMain.vue", "Vue", 0, 8, 0, 0, 0, 5, 13
"e:\Teamanager-vue\teamanager-vue\src\components\Module\modulePage\ModulePage.vue", "Vue", 0, 17, 0, 0, 0, 5, 22
"e:\Teamanager-vue\teamanager-vue\src\components\Module\slide\ModuleDetail.vue", "Vue", 0, 309, 0, 0, 14, 4, 327
